FACILITY_TYPE,EXTERNAL_FACILITY_ID,FACILITY_NAME,SHORT_NAME,DESCRIPTION,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX,METRIC:MMI:GREEN,METRIC:MMI:YELLOW,METRIC:MMI:RED,ATTR:CD,ATTR:Main,ATTR:TBMPage
"STRUCTURE","100602","LOS ANGELES CONVENTION & EXHIBITION CENTER","","1201 S FIGUEROA ST---LOS ANGELES---90015",34.041864,34.041864,-118.267001,-118.267001,1,5,7,9,SD,634D5
"STRUCTURE","100603","LOS ANGELES CONVENTION & EXHIBITION CENTER","","1201 S FIGUEROA ST---LOS ANGELES---90015",34.041864,34.041864,-118.267001,-118.267001,1,5,7,9,SD,634D5
"STRUCTURE","100604","VERMONT SQUARE LIBRARY","","1201 W 48TH ST---LOS ANGELES---90037",33.999646,33.999646,-118.295986,-118.295986,1,5,7,9,SD,674A4
"STRUCTURE","100605","LANDSCAPE MEDIAN ISLAND","","12011  OHIO AV---LOS ANGELES---90025",34.04106,34.04106,-118.462101,-118.462101,1,5,7,11,,
"STRUCTURE","100606","MAR VISTA BRANCH LIBRARY","","12020  VENICE BL---MAR VISTA---90066",34.005862,34.005862,-118.429114,-118.429114,1,5,7,11,SD,672C2
"STRUCTURE","100607","LANDSCAPE MEDIAN ISLAND","","12025  SAN VICENTE BL---LOS ANGELES---90049",34.052178,34.052178,-118.473744,-118.473744,1,5,7,0,,
"STRUCTURE","100608","REC & PARKS SERVICE","","12033  MOORPARK ST------91604",34.1505,34.1505,-118.394947,-118.394947,1,5,7,0,,
"STRUCTURE","100609","LANDSCAPE MEDIAN ISLAND","","12039  SAN VICENTE BL---LOS ANGELES---90049",34.052157,34.052157,-118.474012,-118.474012,1,5,7,0,,
"STRUCTURE","100610","FIRE STATION #18","","12050  BALBOA BL---GRANADA HILLS---91344",34.289267,34.289267,-118.501617,-118.501617,1,5,7,12,ND,481D1
"STRUCTURE","100611","COMMUNICATION TOWER FIRE STATION #18","","12050  BALBOA BL---GRANADA HILLS---91344",34.289267,34.289267,-118.501617,-118.501617,1,5,7,12,ND,481D1
